                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.95446,                0.58177,                  1.091,                0.77634,                0.75065,                0.78155,                0.38841,                 1.8034,                 1.1397,                 1.9092,             0.00024755,             0.00024755,             0.00024755
                     53,                0.92732,                0.56803,                 1.1016,                0.77921,                0.78378,                0.77559,                0.38873,                 1.7837,                  1.225,                 1.9155,              0.0002426,              0.0002426,              0.0002426
                     54,                0.88975,                0.56143,                 1.0908,                0.67791,                 0.7027,                0.69387,                0.37243,                  1.777,                   1.19,                 1.9835,             0.00023765,             0.00023765,             0.00023765
                     55,                0.95022,                 0.5702,                   1.09,                 0.6974,                0.67568,                0.68869,                0.36889,                 1.7588,                 1.2123,                 1.9813,              0.0002327,              0.0002327,              0.0002327
                     56,                0.96045,                0.57282,                 1.1028,                0.72248,                 0.7027,                0.74276,                0.39883,                 1.6948,                 1.2001,                 1.7923,             0.00022775,             0.00022775,             0.00022775
                     57,                 0.8854,                0.52713,                  1.086,                0.68277,                0.72973,                0.72085,                0.40733,                 1.6505,                 1.2048,                 1.7735,              0.0002228,              0.0002228,              0.0002228
                     58,                0.90918,                0.56097,                 1.0928,                0.71763,                 0.7027,                0.71499,                0.40265,                 1.6715,                 1.1927,                 1.7905,             0.00021785,             0.00021785,             0.00021785
                     59,                0.87901,                0.54415,                 1.0942,                0.72057,                0.69709,                0.72964,                 0.4201,                 1.5888,                 1.1869,                 1.7167,              0.0002129,              0.0002129,              0.0002129
                     60,                0.84214,                0.52859,                 1.0692,                0.69716,                0.75676,                0.74106,                0.42558,                 1.5487,                 1.2063,                 1.6811,             0.00020795,             0.00020795,             0.00020795
                     61,                0.87975,                 0.5481,                 1.0551,                0.70194,                0.78378,                0.72866,                0.39557,                 1.6211,                 1.2391,                 1.7715,               0.000203,               0.000203,               0.000203
                     62,                0.83734,                0.51019,                 1.0391,                0.72478,                0.78294,                0.71033,                0.37956,                 1.6393,                 1.2305,                 1.8186,             0.00019805,             0.00019805,             0.00019805
                     63,                0.86695,                0.53671,                 1.0868,                0.77304,                0.67568,                0.71809,                0.38772,                 1.6547,                 1.2759,                 1.8436,              0.0001931,              0.0001931,              0.0001931
                     64,                0.91187,                0.52704,                 1.0559,                0.67904,                0.74349,                0.71604,                0.39999,                 1.6962,                 1.3296,                 1.9134,             0.00018815,             0.00018815,             0.00018815
                     65,                0.88448,                0.52731,                 1.0531,                0.71363,                0.67568,                0.68935,                0.38164,                 1.6728,                 1.3659,                 1.8436,              0.0001832,              0.0001832,              0.0001832
                     66,                0.88232,                0.54307,                 1.0459,                0.74712,                0.63899,                0.69963,                0.39924,                 1.6244,                 1.2749,                 1.7562,             0.00017825,             0.00017825,             0.00017825
                     67,                0.80949,                0.49615,                 1.0628,                0.70752,                0.71935,                0.69799,                0.38222,                 1.6432,                 1.2581,                  1.762,              0.0001733,              0.0001733,              0.0001733
                     68,                0.80285,                0.49092,                 1.0356,                0.70372,                0.77049,                0.71188,                0.37789,                 1.6914,                 1.2834,                 1.8256,             0.00016835,             0.00016835,             0.00016835
                     69,                0.82397,                0.51379,                 1.0553,                0.68274,                 0.7561,                0.69881,                0.37882,                 1.6702,                 1.3119,                 1.8002,              0.0001634,              0.0001634,              0.0001634
                     70,                 0.7727,                0.47335,                 1.0427,                 0.7467,                0.67568,                0.70876,                0.41737,                 1.5976,                  1.254,                 1.7288,             0.00015845,             0.00015845,             0.00015845
                     71,                0.80376,                0.49249,                 1.0342,                0.73184,                0.67568,                0.71161,                0.41439,                 1.5955,                 1.3216,                 1.7298,              0.0001535,              0.0001535,              0.0001535
                     72,                0.76091,                0.45207,                 1.0154,                0.71622,                0.68226,                0.70765,                0.40362,                 1.6058,                 1.3547,                 1.7357,             0.00014855,             0.00014855,             0.00014855
                     73,                0.80175,                0.49022,                  1.038,                0.74277,                 0.7027,                0.70555,                0.39208,                 1.5894,                 1.3097,                 1.7699,              0.0001436,              0.0001436,              0.0001436
                     74,                0.75338,                0.46991,                 1.0349,                0.69377,                 0.7027,                0.70737,                0.39631,                 1.5394,                 1.2933,                 1.7095,             0.00013865,             0.00013865,             0.00013865
                     75,                0.78614,                0.46653,                 1.0172,                0.61527,                0.75676,                 0.6947,                0.38258,                 1.5782,                 1.3438,                  1.757,              0.0001337,              0.0001337,              0.0001337
                     76,                0.75167,                 0.4418,                 1.0171,                0.62138,                0.75676,                0.70392,                0.38854,                 1.5844,                 1.3839,                  1.746,             0.00012875,             0.00012875,             0.00012875
                     77,                 0.7844,                0.48614,                 1.0015,                0.74619,                 0.6359,                0.70328,                0.40954,                 1.5904,                 1.3888,                 1.7871,              0.0001238,              0.0001238,              0.0001238
                     78,                0.76491,                0.45802,                0.99964,                0.74812,                0.64234,                0.70027,                 0.4068,                 1.5575,                 1.4436,                 1.7452,             0.00011885,             0.00011885,             0.00011885
                     79,                0.73236,                0.45262,                 1.0159,                0.71535,                0.67568,                0.70467,                0.41221,                 1.5569,                 1.4261,                 1.7411,              0.0001139,              0.0001139,              0.0001139
                     80,                0.77331,                0.45248,                 1.0387,                0.69724,                 0.7027,                0.69791,                0.40403,                 1.5667,                 1.3448,                 1.7584,             0.00010895,             0.00010895,             0.00010895
